Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Naeem Burroughs (44253046),Naeem Burroughs,44253046,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Cole Turner (44253050),Cole Turner,44253050,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,OUT
WR,Chris Denson (44253054),Chris Denson,44253054,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Gordon Sellars III (44253058),Gordon Sellars III,44253058,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0.5,
WR,Connor Salmin (44253062),Connor Salmin,44253062,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Clark Sanderson (44253066),Clark Sanderson,44253066,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Clay Swinney (44253070),Clay Swinney,44253070,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Jack Purkerson (44253074),Jack Purkerson,44253074,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Chase Byrd (44253078),Chase Byrd,44253078,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Luke Stubbs (44253082),Luke Stubbs,44253082,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Sam Earle (44253086),Sam Earle,44253086,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Avery Wieting (44253090),Avery Wieting,44253090,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Jaylen Brown-Wallace (44253094),Jaylen Brown-Wallace,44253094,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Cam Blivens (44253098),Cam Blivens,44253098,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Keil McGriff (44253102),Keil McGriff,44253102,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,OUT
